rank,player_id,name,conservative_rating,rating,rd,sets_played
300,2084157,PPA | Finraal,1420.7,1600.5,89.9,53
301,2263562,WE OUTSIDE | YoshiSonic,1420.4,1604.5,92.0,80
302,1246252,DUSK | Pugi,1419.5,1761.6,171.0,10
303,1510669,NotBae,1419.5,1727.5,154.0,70
304,128671,QueVeen,1417.5,1631.9,107.2,37
305,2141410,AHRC | Aminayski,1415.6,1523.2,53.8,134
306,391283,AWG | Silver X,1414.9,1528.9,57.0,114
307,735414,DTN | Aero,1414.8,1525.3,55.2,611
308,35065,Artisan,1413.2,1790.4,188.6,132
309,467446,LoKi,1412.3,1928.5,258.1,3
310,2375975,Team Vars | Vars,1410.5,1565.0,77.3,55
311,40136,ENC | Shyguy,1410.1,1563.0,76.5,599
312,1564320,Bozo,1410.0,1836.6,213.3,6
313,3432322,NELSON (ネルソン),1409.6,1509.2,49.8,357
314,3849122,MOB | GRNT | Chrin,1408.1,1741.9,166.9,8
315,2195082,MemeMasterM,1407.4,1554.0,73.3,93
316,1780695,LBE | Raybands,1405.6,1517.6,56.0,103
317,2086155,EMW Esports 2 | Lozman,1405.4,1548.6,71.6,200
318,26047,Brave,1404.4,1639.2,117.4,67
319,1468611,NMDusk,1400.8,1591.8,95.5,142
320,1954010,toad(B),1400.0,1519.4,59.7,322
321,1250027,SnappleOK,1400.0,1561.3,80.7,84
322,2867051,UNH | Breb,1394.2,1549.1,77.4,84
323,1307109,CHP | Razzly,1394.1,1547.9,76.9,73
324,206240,CF | Phuzix,1393.0,1737.9,172.4,7
325,1389846,Kazuto,1392.4,1531.9,69.8,110
326,1624931,Bionicle,1392.3,1728.0,167.8,17
327,2196831,cmeonline,1390.7,1535.9,72.6,189
328,2929199,oddeyes,1390.7,1522.5,65.9,83
329,1800430,YHWH | Attaboytom,1390.6,1552.5,81.0,200
330,442000,HEYO | MojoGameSlayer,1387.5,1939.4,275.9,2
331,29243,ENC | Jaku,1383.3,1761.3,189.0,102
332,1708879,TDV/B Team | Zedare,1382.9,1489.9,53.5,115
333,3220848,Kelvin,1382.8,1550.8,84.0,82
334,1187549,Not | L7ogz,1382.1,1810.1,214.0,4
335,1377718,Agua,1379.3,1621.7,121.2,16
336,244598,PSG | balls,1377.4,1610.0,116.3,138
337,3205259,SSS | dbfc | Bardock,1376.1,1558.2,91.0,74
338,1771679,ZeroTwoNone,1375.9,1834.9,229.5,5
339,594904,vlz,1374.8,1514.3,69.8,82
340,1593729,SwimTank | MOB | the drink,1372.4,1476.7,52.1,938
341,2473421,SwissWriter(B),1370.1,1491.2,60.6,145
342,415239,Pong,1369.0,1574.1,102.5,65
343,1669160,Mr.Stein,1367.2,1517.3,75.1,89
344,753836,3D | Juuuuul,1365.7,1845.5,239.9,8
345,2638518,REV | Brayden,1365.0,1530.1,82.5,82
346,709923,SBU | JetFire,1364.8,1474.9,55.0,115
347,2148803,PAG | SRN | Trapsef,1362.3,1543.5,90.6,105
348,370861,Sinai | Zenkai,1360.2,1795.8,217.8,17
349,1188970,DF | kirby509,1358.8,1852.8,247.0,4
350,3533676,Maidenless | Shokaizo,1356.4,1604.4,124.0,9
351,129373,MOB | WontonWarrior,1353.4,1533.2,89.9,405
352,160229,Vent / innoxia,1351.2,1582.6,115.7,84
353,3631801,domisBUGGIN22,1347.4,1493.6,73.1,133
354,4773,Phish-it,1347.3,1773.8,213.2,10
355,3800500,Aero,1345.9,1834.6,244.4,4
356,331195,MikeMM,1345.1,1632.4,143.6,30
357,1208753,Agua,1342.5,1605.1,131.3,78
358,2524731,REV | LevelOne,1341.5,1559.4,109.0,111
359,1393892,Charles,1335.6,1789.3,226.9,9
360,2208713,backpak72,1330.7,1498.5,83.9,59
