rank,player_id,name,conservative_rating,rating,rd,sets_played
475,3500237,Gmx,1204.2,1347.6,71.7,87
476,4281178,Deific,1204.1,1567.9,181.9,8
477,1595369,ShockDunes,1203.3,1384.9,90.8,67
478,331723,Dadvon,1202.8,1473.5,135.4,57
479,5297798,providence,1201.4,1613.7,206.1,4
480,1402993,Pekkeman,1201.4,1542.6,170.6,7
481,65808,Glentendo / Wraith,1199.6,1577.5,189.0,36
482,825382,NEINx,1199.1,1340.6,70.7,131
483,2705447,MOB | swiftniko,1194.0,1371.1,88.6,451
484,330986,G I G A,1192.9,1476.0,141.5,75
485,5520974,PM,1192.5,1624.1,215.8,3
486,1013628,Bolero,1192.2,1653.2,230.5,10
487,1827892,Wilsports | Leiothrix,1191.9,1466.8,137.5,15
488,5354854,Geodash,1190.0,1651.6,230.8,2
489,4157833,Deific,1188.6,1373.0,92.2,75
490,691323,MMG+ | PACKNETO,1188.0,1393.4,102.7,78
491,3307725,Stanklove,1188.0,1335.1,73.6,85
492,3614894,Pacific | Velxify,1187.8,1369.1,90.7,35
493,247544,OctopusMan,1186.8,1766.0,289.6,2
494,1145719,Toad,1186.5,1533.1,173.3,9
495,512698,gaku,1183.5,1712.7,264.6,3
496,15161,GR | Corazón,1182.8,1642.2,229.7,9
497,4146593,George,1182.5,1536.4,177.0,8
498,1375808,NGU | Epoodle,1179.7,1454.7,137.5,58
499,3281975,Meshy,1179.0,1566.1,193.6,7
500,397058,COTP | Shinigami313,1178.6,1427.1,124.2,35
501,1179016,12G | MESSIAH,1175.1,1486.9,155.9,9
502,1625762,AstroPokemonWorld,1174.4,1531.6,178.6,9
503,1444457,GL | Karnage,1174.2,1347.5,86.7,41
504,1441832,TFO256,1173.4,1607.1,216.9,6
505,935995,DayRa,1170.8,1366.4,97.8,31
506,1791615,B Team | Sir sKorZington,1169.2,1279.3,55.0,132
507,3024420,K.O.G.,1167.2,1355.6,94.2,87
508,147845,TSG | M.Dre,1166.0,1336.4,85.2,292
509,4512313,Stelter,1164.5,1501.9,168.7,7
510,55304,Bigbuffalo,1161.7,1428.0,133.2,39
511,701630,MOB | P.I.E.R.C.E,1157.3,1294.9,68.8,370
512,404668,TCaP | Green Marth,1156.5,1473.4,158.5,106
513,28594,RVW,1155.4,1494.9,169.8,76
514,1039742,DA | Vice,1155.1,1512.1,178.5,61
515,768377,Adrian,1154.3,1422.9,134.3,49
516,2997758,MeNsCh,1152.1,1382.7,115.3,49
517,3014877,SFS|JVFIVE | SAPPHYRE,1152.0,1311.8,79.9,181
518,1573466,TwoTone,1149.1,1601.0,225.9,4
519,5332482,Skratch,1148.8,1455.5,153.3,7
520,2213920,Aura Ora!,1147.3,1272.7,62.7,106
521,1066557,5LG | CSUF | Tact,1147.1,1578.6,215.8,4
522,1883543,The retired | Spurple IV,1144.2,1416.3,136.1,68
523,955105,IamLuffytv,1142.2,1522.2,190.0,55
524,4003599,Elilyth,1141.9,1498.7,178.4,8
525,1586105,GWU | Rip Van Winkle,1140.6,1458.2,158.8,17
526,1601554,Status Quo,1139.9,1782.9,321.5,1
527,901519,Lui-Jesus,1139.3,1691.1,275.9,3
528,3765836,Stelter,1138.7,1560.9,211.1,4
529,959027,ZeXa,1138.6,1419.4,140.4,24
530,1063778,sky,1138.0,1352.6,107.3,25
531,1401608,</3 | wakeup,1137.5,1517.8,190.2,31
532,235568,JAVI,1135.3,1608.6,236.6,3
533,2142882,Iona | FibX,1134.6,1391.2,128.3,51
