rank,player_id,name,conservative_rating,rating,rd,sets_played
530,3238423,m?n | PHG/SJI | mom?gaming(A),1007.5,1227.9,110.2,47
531,2503807,Iona | Brick Eyes,1007.1,1303.5,148.2,12
532,2689576,Broshi,1006.2,1257.1,125.4,26
533,4369445,cmeonline,1001.9,1469.9,234.0,3
534,3531989,G4G WOKE 2 | xltl,1001.9,1326.5,162.3,10
535,3205092,REV | MetalGearFear,1001.7,1425.8,212.0,5
536,326148,DA | EMP | Venia,1000.8,1620.8,310.0,1
537,1708879,TDV/B Team | Zedare,998.3,1262.1,131.9,13
538,4523561,Octobro_,990.0,1217.3,113.6,24
539,4345812,cstew,989.4,1250.6,130.6,30
540,321223,Heist | Experience,986.8,1269.7,141.4,10
541,2731822,Ansd,986.3,1336.0,174.9,5
542,1006188,GWU | PokeBlu,986.0,1372.1,193.1,12
543,1321120,Fire Guts | Kuuga,985.1,1455.1,235.0,3
544,850428,Flo,983.6,1600.9,308.6,1
545,1659305,MC | Ryzoluca,983.0,1298.6,157.8,57
546,339291,Ragnellrok / Tom,982.1,1662.3,340.1,1
547,4369446,cmeonline,981.1,1378.2,198.5,6
548,3605518,francis,980.1,1375.8,197.8,7
549,1586193,Cleaningproduct,978.9,1662.3,341.7,1
550,4488560,Cheech,977.6,1367.2,194.8,5
551,3038753,HomeFries,977.1,1437.6,230.2,3
552,970468,Iona University,977.1,1386.6,204.7,4
553,29507,21S | Skyhook,975.6,1606.2,315.3,1
554,1564320,Bozo,974.8,1509.1,267.1,2
555,3127896,Beempa Clan | Nick,974.5,1303.2,164.4,10
556,145261,Edwin,974.1,1591.7,308.8,1
557,1287199,PhantomsCode,973.3,1522.6,274.7,2
558,1308403,Wise,972.3,1384.8,206.2,5
559,2583406,SEN | Frozen,971.5,1277.0,152.7,10
560,182145,Javi,966.9,1271.6,152.3,10
561,4148593,Stelter,966.7,1444.4,238.8,3
562,172699,JamesB,965.8,1171.2,102.7,26
563,2896387,dbfc | gObe,964.9,1244.6,139.8,23
564,3014877,SFS|JVFIVE | SAPPHYRE,964.4,1169.2,102.4,124
565,2996650,JRaz16,958.7,1263.8,152.5,11
566,2053683,VikVaughn,957.1,1391.1,217.0,3
567,3759411,MoistMayo,956.7,1295.5,169.4,11
568,935995,DayRa,954.7,1272.1,158.7,6
569,1738307,MikeyProHD,951.6,1595.6,322.0,1
570,3975151,Cheech,951.2,1353.1,200.9,5
571,793599,Mr.Mudkip,950.8,1583.6,316.4,1
572,691323,MMG+ | PACKNETO,950.7,1271.8,160.5,11
573,3436214,Gmx,950.3,1286.6,168.2,10
574,5521465,Bubington,950.1,1298.9,174.4,6
575,1004616,el tumi,949.2,1294.1,172.5,91
576,2694799,Don Melon,948.8,1136.1,93.7,111
577,3545813,DrummerOfMetallica,947.4,1357.0,204.8,5
578,3759548,FREE AGENT | Onyx!~,947.0,1260.1,156.6,6
