rank,entrant_id,name,elo,sets_played
456,370861,Sinai | Zenkai,1624.8,17
457,2129156,Stelter,1624.7,209
458,997968,EastBlueRugs | Peco,1624.7,66
459,1239865,PSG | Petrikov,1624.6,93
460,4440070,Gotmilk,1624.6,100
461,1063242,glob?!,1624.3,74
462,1445259,CarBev | abc,1623.5,88
463,499319,EDLN | Salt King,1623.3,23
464,2803219,WAMP | Ryot,1623.0,33
465,61785,G5 | Jack777,1622.7,24
466,367815,Tr4sh | Chocolate Jesus,1622.2,67
467,1910295,Crooos,1622.0,24
468,1210633,NYU | Scout,1621.9,65
469,1535877,Army of Faye | Kengar Dongatron,1621.7,18
470,368063,C2F | Average Alex,1621.6,39
471,29244,DK DAN,1621.5,51
472,550127,WFP | CRB,1621.3,17
473,2410827,she/her | sickle,1621.3,74
474,63962,ENC | Ice,1621.2,112
475,2111706,Toxic,1621.1,102
476,2201580,TDC SJSU | Lammers44,1621.1,7
477,3005544,SuperSaga,1620.7,67
478,1863577,MSU | Pacific | Auramaster,1620.4,177
479,1471306,FSC | GRNT | Wildogz,1620.0,73
480,1719545,3U | Pado,1619.8,53
481,4780618,Dan_Zz 0_0 | Dan_Zz 0_0,1619.8,32
482,993562,JuanR,1619.2,58
483,2087765,WU/MTLC/ML | TWITCHY!,1618.9,8
484,1758326,ebs | $hrutik,1618.9,20
485,503384,Foreskinuinely | ProtoMania,1618.2,22
486,252976,red berpo,1618.0,18
487,564784,Vakira Man,1617.6,78
488,605965,Tony Pajamas,1617.0,6
489,1586470,Cipher,1616.8,118
490,1256236,felix,1616.4,113
491,1714828,Sentry | Naomi,1616.2,23
492,2735086,TikTok shop | Dr but terkel,1616.2,40
493,2311781,CU | gira,1615.6,86
494,213342,PinkDocJ,1615.5,9
495,265634,The Concept of De4th,1615.4,25
496,331606,PhantomLosers,1614.5,68
497,1807403,Ace,1614.5,86
498,1811210,GTH | MBS | Bootleg,1614.5,93
499,2391287,CunyBC | Billio,1614.5,82
500,3709516,Icicles,1614.4,54
501,2587016,GetJigglyWithIt,1613.6,23
502,2151188,DumplingKing (A),1612.6,90
503,1191080,dbfc | LRA | Pardo,1612.5,320
504,1214510,TTD | UpTilted,1612.4,70
505,1834479,rogwrat,1612.3,41
506,1729757,Invincible | Poisonboi,1612.1,93
507,1404744,Fonica,1612.0,9
508,2790597,Tr4sh | $Krilldog$,1611.7,98
509,3911172,HoP | CRIT,1611.2,8
510,1928105,JPN | KurtSwitch,1611.0,80
511,850212,Balderdash,1611.0,247
512,1884886,jon,1610.9,92
513,1671018,Kazuha Mishima,1610.6,58
514,1128032,BigBJimbo | B3nan,1610.6,69
515,2086155,EMW Esports 2 | Lozman,1610.5,258
516,1590243,GS/HoM | Majestic Souls,1610.3,13
517,1345295,Honeynut,1609.8,9
518,1824970,KDE | Chappsticc,1609.1,326
519,2232029,SBU | Pineapples,1608.7,76
520,314641,OFY,1608.7,44
521,937364,bran,1608.5,81
522,1531390,Fiestero,1608.4,181
523,2993602,CCNY | EOI | Ebrima,1607.9,380
524,4830852,Skip,1607.8,165
525,2444228,CarBev | VesselHK,1607.7,60
526,1183244,chancla,1607.6,104
527,918277,WU | KornDog | CJFrozen,1606.7,18
528,5205715,EF | TINGLEHAWK,1606.6,18
529,3749822,Aero,1606.6,7
530,159520,Scrafty,1606.0,8
531,1130355,T-T | BigFish,1605.9,8
532,3233312,PPB | Szadubiii,1605.8,53
533,171945,Zach67671,1605.2,66
534,3331431,DREAM BIG | luci,1605.0,119
535,576268,Suarez,1604.8,62
536,3799132,Charles,1604.6,16
537,1347370,fg | flarp,1604.0,6
538,1111772,Mr Zacky,1603.9,122
539,1700267,DBQ | Ralphieboi,1603.3,72
540,2426029,F5 | Lipden,1603.2,23
541,571090,Ikan,1603.1,8
542,1077177,H2 | Moxort,1602.7,15
543,63188,envy,1602.7,7
544,1556407,セクシー | DrJulian,1602.6,81
545,1820835,ethbeast / Sarvi,1601.9,56
546,2996581,PUP | Myles,1601.9,6
547,1170599,Castillo,1601.2,101
548,3268179,Blug | Potatobagel,1601.0,56
549,1350424,MHM | 天 | VulgarKaiju,1600.8,681
550,25509,OA|FC | Nexus,1600.7,12
551,1671986,Chud | BigGubGubFan67,1600.7,11
552,4467122,SCB | Rise Up,1600.3,7
553,1728859,GRNT | Swag Master,1600.2,128
554,525344,SN | Tilde,1600.2,7
555,2413463,Hung | Grey,1600.1,94
556,337973,ALTAlter,1599.9,261
557,321425,Purity,1599.0,7
558,29142,SENTRY | spoop,1598.5,20
559,3008266,Arpo,1598.4,32
560,3238251,Omen | Astralis,1598.3,49
561,1250027,SnappleOK,1598.0,84
562,1518438,SWR | Enriquethepigeon,1597.9,184
563,889148,Wendys4for4,1597.8,5
564,4192713,Naito Wolfe,1597.7,45
565,374582,AFG | Paper Tom,1597.3,93
566,267460,Ranger,1597.2,8
567,1585721,MBS | Mimik :P,1597.0,95
568,3798456,ItzRed510,1597.0,18
569,1659330,SamSam,1596.6,71
570,70916,Chag,1596.6,6
571,2088174,GORDO | TFO256,1596.4,227
572,1740335,dark cat,1596.4,41
573,1321838,Adam,1596.0,27
574,272462,Zoo,1596.0,69
575,946548,DTN | Jahzz0,1595.9,19
576,1804461,VLNY | DDrakgo,1595.8,55
577,1624931,Bionicle,1594.7,17
578,10943,Spaceghost,1594.4,20
579,536978,? | Ditto,1594.4,7
580,1323217,Ian,1593.3,7
581,1992753,DoGood | H03$ M4D,1593.0,76
582,1478578,bisasam,1592.8,71
583,129074,Applebee's | Dovidio,1592.8,9
584,3846993,C1W | kimbee,1592.7,32
585,1802504,dbfc | Grumbo,1592.6,81
586,1580144,Madasti,1592.6,73
587,937691,Jon,1592.5,47
588,417249,ED | Cee,1592.1,17
